alpha,chi,q,status,residual,discriminant_normalized,omega_res_M,radius_M,radius_over_cloud,eta_M,delta_gamma_M,analytic_q
0.03,0.1,,not_superradiant,,,6.074999999999999e-12,,,,8.553743838199577e-17,
0.03,0.10499444444444445,,not_superradiant,,,6.378412499999999e-12,,,,8.980764904646611e-17,
0.03,0.1099888888888889,,not_superradiant,,,6.681824999999999e-12,,,,9.407758006468924e-17,
0.03,0.11498333333333334,,not_superradiant,,,6.9852375e-12,,,,9.834721800058276e-17,
0.03,0.11997777777777778,,no_root,,,7.28865e-12,,,,1.0261654939908724e-16,
0.03,0.12497222222222223,,no_root,,,7.5920625e-12,,,,1.0688556078522511e-16,
0.03,0.12996666666666667,,no_root,,,7.895474999999999e-12,,,,1.1115423866314895e-16,
0.03,0.13496111111111112,,no_root,,,8.198887499999999e-12,,,,1.154225695151778e-16,
0.03,0.13995555555555556,,no_root,,,8.502299999999998e-12,,,,1.1969053980082165e-16,
0.03,0.14495000000000002,,no_root,,,8.8057125e-12,,,,1.2395813595579286e-16,
0.03,0.14994444444444444,,no_root,,,9.109124999999999e-12,,,,1.2822534439100442e-16,
0.03,0.1549388888888889,,no_root,,,9.412537499999999e-12,,,,1.32492151491554e-16,
0.03,0.15993333333333334,,no_root,,,9.71595e-12,,,,1.3675854361569334e-16,
0.03,0.16492777777777778,,no_root,,,1.0019362499999998e-11,,,,1.410245070937823e-16,
0.03,0.16992222222222222,,no_root,,,1.0322774999999997e-11,,,,1.452900282272266e-16,
0.03,0.17491666666666666,,no_root,,,1.0626187499999998e-11,,,,1.495550932873993e-16,
0.03,0.17991111111111113,,no_root,,,1.0929599999999998e-11,,,,1.53819688514544e-16,
0.03,0.18490555555555555,,no_root,,,1.1233012499999999e-11,,,,1.5808380011666055e-16,
0.03,0.1899,,no_root,,,1.1536424999999999e-11,,,,1.62347414268371e-16,
0.03,0.19489444444444445,,no_root,,,1.18398375e-11,,,,1.6661051710976603e-16,
0.03,0.1998888888888889,,no_root,,,1.2143249999999998e-11,,,,1.7087309474523058e-16,
0.03,0.20488333333333336,,no_root,,,1.24466625e-11,,,,1.75135133242248e-16,
0.03,0.20987777777777777,,no_root,,,1.2750074999999998e-11,,,,1.7939661863018118e-16,
0.03,0.21487222222222224,,no_root,,,1.3053487499999998e-11,,,,1.8365753689903142e-16,
0.03,0.21986666666666668,,no_root,,,1.3356899999999999e-11,,,,1.8791787399817144e-16,
