alpha,spin_policy,chi,q_EP,status,mass_msun,M_Omega_res,M_eta,z,R_res_over_r_cloud,T_orb_M,T_orb_seconds,T_split_M,T_split_seconds,T_grow_M,T_grow_seconds,T_abs_M,T_abs_seconds,T_eta_M,T_eta_seconds,T_GW_M,T_GW_seconds,T_sweep_M,T_sweep_seconds,T_width_M,T_width_seconds
0.05,high_0.9,0.9,0.6481911252949751,physical_root,10.0,1.1718750000000006e-09,3.888575938082543e-14,40116.03423956576,664.194102124475,5361651462.126577,264087.6573767377,426666666.66666645,21015.428040533323,42626800196836.586,2099579184.6909642,18412103727923.535,906886502.2711233,25716355188195.195,1266656746.6929193,6.217962655664865e+22,3.062651876926137e+18,5150725579712378.0,253698522133.54645,2.063276370492946e+18,101626490840220.23
0.05,high_0.9,0.9,0.6481911252949751,physical_root,100.0,1.1718750000000006e-09,3.888575938082543e-14,40116.03423956576,664.194102124475,5361651462.126577,2640876.573767377,426666666.66666645,210154.28040533324,42626800196836.586,20995791846.90964,18412103727923.535,9068865022.711233,25716355188195.195,12666567466.929192,6.217962655664865e+22,3.062651876926137e+19,5150725579712378.0,2536985221335.4644,2.063276370492946e+18,1016264908402202.4
0.05,high_0.9,0.9,0.6481911252949751,physical_root,1000000.0,1.1718750000000006e-09,3.888575938082543e-14,40116.03423956576,664.194102124475,5361651462.126577,26408765737.67377,426666666.66666645,2101542804.0533323,42626800196836.586,209957918469096.44,18412103727923.535,90688650227112.33,25716355188195.195,126665674669291.92,6.217962655664865e+22,3.062651876926137e+23,5150725579712378.0,2.5369852213354644e+16,2.063276370492946e+18,1.0162649084022024e+19
0.05,high_0.99,0.99,0.5381052997652155,physical_root,10.0,1.2890625000000003e-09,4.1856378192233235e-14,38575.85688127458,609.1057844160218,4874228601.933253,240079.68852430707,387878787.8787878,19104.934582303027,35646626676501.36,1755771369.8619616,17966349058505.973,884930896.3831314,23891221438398.547,1176759949.0760436,5.676704128298857e+22,2.796055479273355e+18,4692412083812622.0,231124332384.12476,1.8432486778530025e+18,90789046758346.83
0.05,high_0.99,0.99,0.5381052997652155,physical_root,100.0,1.2890625000000003e-09,4.1856378192233235e-14,38575.85688127458,609.1057844160218,4874228601.933253,2400796.885243071,387878787.8787878,191049.34582303028,35646626676501.36,17557713698.619614,17966349058505.973,8849308963.831314,23891221438398.547,11767599490.760437,5.676704128298857e+22,2.796055479273355e+19,4692412083812622.0,2311243323841.2476,1.8432486778530025e+18,907890467583468.4
0.05,high_0.99,0.99,0.5381052997652155,physical_root,1000000.0,1.2890625000000003e-09,4.1856378192233235e-14,38575.85688127458,609.1057844160218,4874228601.933253,24007968852.430706,387878787.8787878,1910493458.2303028,35646626676501.36,175577136986196.16,17966349058505.973,88493089638313.14,23891221438398.547,117675994907604.36,5.676704128298857e+22,2.7960554792733545e+23,4692412083812622.0,2.3112433238412476e+16,1.8432486778530025e+18,9.078904675834683e+18
0.1,high_0.9,0.9,0.8584865046004255,physical_root,10.0,7.500000000000004e-08,2.3385092755753244e-11,2718.3706242435837,172.82993648733023,83775804.09572777,4126.369646511526,6666666.666666663,328.36606313333317,138413471111.34845,6817542.989017928,25287355902.093258,1245526.4256932735,42762284949.841736,2106252.473934798,7.456271851086726e+17,36725799500898.6,2229539840577.9795,109815783.00742662,232487478466366.6,11451149704.76946
0.1,high_0.9,0.9,0.8584865046004255,physical_root,100.0,7.500000000000004e-08,2.3385092755753244e-11,2718.3706242435837,172.82993648733023,83775804.09572777,41263.69646511527,6666666.666666663,3283.660631333332,138413471111.34845,68175429.89017928,25287355902.093258,12455264.256932737,42762284949.841736,21062524.739347983,7.456271851086726e+17,367257995008986.06,2229539840577.9795,1098157830.0742662,232487478466366.6,114511497047.69461
0.1,high_0.9,0.9,0.8584865046004255,physical_root,1000000.0,7.500000000000004e-08,2.3385092755753244e-11,2718.3706242435837,172.82993648733023,83775804.09572777,412636964.6511527,6666666.666666663,32836606.313333318,138413471111.34845,681754298901.7928,25287355902.093258,124552642569.32736,42762284949.841736,210625247393.47983,7.456271851086726e+17,3.6725799500898606e+18,2229539840577.9795,10981578300742.662,232487478466366.6,1145114970476946.2
0.1,high_0.99,0.99,0.6373671479121584,physical_root,10.0,8.250000000000002e-08,2.3844817824810007e-11,2573.0684001962095,155.48412971380114,76159821.90520708,3751.245133192298,6060606.06060606,298.5146028484848,104938341701.88562,5168728.520458302,26205292615.857098,1290739.3154289008,41937833509.448,2065644.1928757937,7.467019026872006e+17,36778734617934.82,2127314287286.2307,104780672.63452087,215817828351700.7,10630087597.475018
