alpha,chi,state,omega_real_M,gamma_M,residual,truncation,angular_lmax,converged,message,detweiler_gamma_M,truncation_relative_change_200_400,truncation_converged
0.15,0.9,21+1,0.14956840890547826,1.7669715169411895e-10,6.88141533921356e-14,100,12,True,The solution converged.,1.5455644438403046e-10,0.0010018591710312162,False
0.15,0.9,21+1,0.14956840879989267,1.7390457550362375e-10,5.1145026139115196e-15,200,12,False,"The iteration is not making good progress, as measured by the 
 improvement from the last ten iterations.",1.5455644438403046e-10,0.0010018591710312162,False
0.15,0.9,21+1,0.14956840879496355,1.7373052198688315e-10,4.03443682184897e-14,400,12,False,"The iteration is not making good progress, as measured by the 
 improvement from the last ten iterations.",1.5455644438403046e-10,0.0010018591710312162,False
0.2,0.9,21+1,0.19895873390364271,1.5594965511625312e-09,5.751111901236339e-14,100,12,True,The solution converged.,1.0377301700048206e-09,3498.7165842629897,False
0.2,0.9,21+1,0.14968568819470796,5.446274465960122e-06,3.316457019900145,200,12,False,"The iteration is not making good progress, as measured by the 
 improvement from the last ten iterations.",1.0377301700048206e-09,3498.7165842629897,False
0.2,0.9,21+1,0.19895873376438866,1.5562044339390586e-09,1.9064544410428194e-14,400,12,True,The solution converged.,1.0377301700048206e-09,3498.7165842629897,False
0.25,0.9,21+1,0.24791855782262134,7.546501060117132e-09,2.218300670224765e-15,100,12,True,The solution converged.,3.3336864710778404e-09,55398429.51127895,False
0.25,0.9,21+1,0.7077013460071859,-0.4179439713646914,2.8936124155616193e-15,200,12,False,The solution converged.,3.3336864710778404e-09,55398429.51127895,False
0.25,0.9,21+1,0.24791855770296545,7.544329010697466e-09,4.319092743141576e-12,400,12,True,The solution converged.,3.3336864710778404e-09,55398429.51127895,False
0.3,0.9,21+1,0.2962955364198871,1.4778191666111062e-08,2.897301041635299e-14,100,12,True,The solution converged.,3.841769018344367e-09,28384665.56873736,False
0.3,0.9,21+1,0.7071780032913701,-0.41945708782877217,7.027567579320913e-16,200,12,False,The solution converged.,3.841769018344367e-09,28384665.56873736,False
0.3,0.9,21+1,0.29629553634246514,1.4777595374185214e-08,3.864773457817089e-14,400,12,True,The solution converged.,3.841769018344367e-09,28384665.56873736,False
0.15,0.9,21-1,0.14956643302803477,-7.0054840926077625e-09,1.8872883002068366e-14,100,12,True,The solution converged.,-2.0880492973504365e-09,0.001661939792145055,False
0.15,0.9,21-1,0.14956643359934732,-6.749281682142641e-09,2.537097670144253e-14,200,12,False,"The iteration is not making good progress, as measured by the 
 improvement from the last ten iterations.",-2.0880492973504365e-09,0.001661939792145055,False
0.15,0.9,21-1,0.14956643362610403,-6.738083393228642e-09,2.8224717489577454e-14,400,12,False,"The iteration is not making good progress, as measured by the 
 improvement from the last ten iterations.",-2.0880492973504365e-09,0.001661939792145055,False
0.2,0.9,21-1,0.1989460432872398,-2.1028426563612025e-07,9.981735010786227e-14,100,12,True,The solution converged.,-3.709721154838197e-08,0.00010831584654880107,True
0.2,0.9,21-1,0.19894604441220187,-2.0934606519704255e-07,2.6294021999841975e-14,200,12,True,The solution converged.,-3.709721154838197e-08,0.00010831584654880107,True
0.2,0.9,21-1,0.198946044441083,-2.0932339215661864e-07,3.62609181197725e-16,400,12,True,The solution converged.,-3.709721154838197e-08,0.00010831584654880107,True
0.25,0.9,21-1,0.24785952813252932,-3.724864513859182e-06,5.174270621076076e-15,100,12,True,The solution converged.,-3.596811518816881e-07,6.664940310231462e-06,True
0.25,0.9,21-1,0.2478595291992196,-3.7228553213205715e-06,7.255104129179936e-15,200,12,True,The solution converged.,-3.596811518816881e-07,6.664940310231462e-06,True
0.25,0.9,21-1,0.24785952921357238,-3.7228305088774447e-06,1.1471202940255556e-15,400,12,True,The solution converged.,-3.596811518816881e-07,6.664940310231462e-06,True
0.3,0.9,21-1,0.29606923160707427,-4.4695995370182326e-05,7.458857233151753e-15,100,12,True,The solution converged.,-2.3641123140208628e-06,3.1936332676657214e-07,True
0.3,0.9,21-1,0.29606923149890707,-4.469357900329194e-05,1.958361986049079e-15,200,12,True,The solution converged.,-2.3641123140208628e-06,3.1936332676657214e-07,True
0.3,0.9,21-1,0.2960692314990411,-4.469356472980642e-05,3.0917408972614456e-15,400,12,True,The solution converged.,-2.3641123140208628e-06,3.1936332676657214e-07,True
0.15,0.99,21+1,0.1495685099234051,-1.244447442957421e-11,5.812874541767189e-16,100,12,True,The solution converged.,2.28269983076729e-10,0.01576355108986223,False
0.15,0.99,21+1,0.1495685034434968,1.8706065746479528e-10,3.476107402588145e-14,200,12,False,"The iteration is not making good progress, as measured by the 
 improvement from the last ten iterations.",2.28269983076729e-10,0.01576355108986223,False
0.15,0.99,21+1,0.14956850284737713,1.8415767849130713e-10,4.64914550049359e-14,400,12,True,The solution converged.,2.28269983076729e-10,0.01576355108986223,False
0.2,0.99,21+1,0.19895932516548995,1.2419739606644573e-09,3.339042530462511e-14,100,12,True,The solution converged.,1.7413063963847688e-09,0.014174731952181996,False
0.2,0.99,21+1,0.19953948694390808,5.864259970210899e-10,1.313385188691648e-14,200,12,True,The solution converged.,1.7413063963847688e-09,0.014174731952181996,False
0.2,0.99,21+1,0.19953948523152376,5.782297453736401e-10,7.931399078570066e-12,400,12,True,The solution converged.,1.7413063963847688e-09,0.014174731952181996,False
0.25,0.99,21+1,0.24792106975628936,7.39966661386289e-09,2.8386243556751683e-15,100,12,True,The solution converged.,6.602227944677362e-09,34148494.74686586,False
0.25,0.99,21+1,0.5261716676997933,-0.09838058071943605,2.508842373473291e-15,200,12,False,The solution converged.,6.602227944677362e-09,34148494.74686586,False
0.25,0.99,21+1,0.2490818058809975,2.8809639877151354e-09,5.864611380956747e-15,400,12,True,The solution converged.,6.602227944677362e-09,34148494.74686586,False
0.3,0.99,21+1,0.2963043624797183,2.6235350467106803e-08,2.584930526631843e-14,100,12,True,The solution converged.,1.4552714632872754e-08,10025732.492755808,False
0.3,0.99,21+1,0.5258215220156338,-0.09926382194367236,2.476304807938272e-15,200,12,False,The solution converged.,1.4552714632872754e-08,10025732.492755808,False
0.3,0.99,21+1,0.2983709028829976,9.900905686073523e-09,3.207204151372529e-14,400,12,True,The solution converged.,1.4552714632872754e-08,10025732.492755808,False
0.15,0.99,21-1,0.14956628995775945,-3.041383514966025e-08,5.828219683491161e-15,100,12,False,"The iteration is not making good progress, as measured by the 
 improvement from the last ten iterations.",-1.913927465081728e-09,0.21585975456264445,False
0.15,0.99,21-1,0.14956632641909917,-9.274561256494908e-09,2.9012404016833703e-16,200,12,True,The solution converged.,-1.913927465081728e-09,0.21585975456264445,False
0.15,0.99,21-1,0.14956632982465806,-7.62798605817087e-09,2.9663068380394436e-15,400,12,True,The solution converged.,-1.913927465081728e-09,0.21585975456264445,False
0.2,0.99,21-1,0.19894523121528668,-3.594386301983536e-07,1.072910369043238e-14,100,12,True,The solution converged.,-3.253202187778697e-08,6.351540448169466,False
0.2,0.99,21-1,0.1995352209761843,-9.953502375728651e-08,3.0264496356661956e-15,200,12,True,The solution converged.,-3.253202187778697e-08,6.351540448169466,False
0.2,0.99,21-1,0.19988587368940408,-1.3539342462853583e-08,1.7900346583301596e-13,400,12,True,The solution converged.,-3.253202187778697e-08,6.351540448169466,False
0.25,0.99,21-1,0.24977229522712938,-1.4332546981238092e-06,1.42988717543532e-13,100,12,True,The solution converged.,-3.035533654826835e-07,10.511843215873721,False
0.25,0.99,21-1,0.24785611646025857,-4.202903700900532e-06,2.543644739961591e-15,200,12,True,The solution converged.,-3.035533654826835e-07,10.511843215873721,False
0.25,0.99,21-1,0.2496702528930024,-3.650938969621418e-07,2.3687328421610197e-14,400,12,True,The solution converged.,-3.035533654826835e-07,10.511843215873721,False
0.3,0.99,21-1,0.29829303557823483,-2.082819567676307e-05,4.301796697745824e-15,100,12,True,The solution converged.,-1.929549083254647e-06,0.0006951325834327911,True
0.3,0.99,21-1,0.29605616311501537,-5.0058443432200214e-05,2.8585897349345472e-15,200,12,True,The solution converged.,-1.929549083254647e-06,0.0006951325834327911,True
0.3,0.99,21-1,0.2960561596258727,-5.0023670348997725e-05,8.363715575147378e-15,400,12,True,The solution converged.,-1.929549083254647e-06,0.0006951325834327911,True
