dimension,value,alpha,angular_residual,bilinear_norm_error,cf_residual,chi,final,frequency_f_imag,frequency_f_real,frequency_i_imag,frequency_i_real,initial,kernel_abs,kernel_imag,kernel_real,radial_residual,radial_strategy,relative_to_reference,modes_passed
N,150,0.1,8.123339117029422e-17,3.2448713070274765e-10,1.7341036458940375e-13,0.3841668178974366,21-1,-3.5606591898863086e-11,0.09987360457617998,-5.1875556445006673e-20,0.09987367262713033,21+1,8742.720538390737,-8742.720510994117,0.6921285810015962,6.307423942649421e-09,gauss,,
N,250,0.1,8.772258167375467e-17,3.2448700556386595e-10,4.0081891093500233e-13,0.3841668178968723,21-1,-3.547556077199543e-11,0.09987360457684354,4.4771951362252875e-19,0.09987367262697144,21+1,8742.720559721793,-8742.720532325278,0.6921272604826932,5.836101346259397e-10,gauss,1.5443407794870898e-10,
N,400,0.1,5.300784421789063e-17,3.244873149473362e-10,2.6393079771446637e-13,0.3841668178968236,21-1,-3.546446375486724e-11,0.09987360457690089,4.39596776673252e-20,0.09987367262695772,21+1,8742.720561071967,-8742.720533675469,0.692127047358582,4.120858942250041e-11,gauss,,
radial_nodes,40,0.1,5.300784421789063e-17,3.244873149473362e-10,2.6393079771446637e-13,0.3841668178968236,21-1,-3.546446375486724e-11,0.09987360457690089,4.39596776673252e-20,0.09987367262695772,21+1,8739.964493718708,-8739.964003617353,2.9269329759325275,4.120858942250041e-11,gauss,,
radial_nodes,56,0.1,5.300784421789063e-17,3.244873149473362e-10,2.6393079771446637e-13,0.3841668178968236,21-1,-3.546446375486724e-11,0.09987360457690089,4.39596776673252e-20,0.09987367262695772,21+1,8742.10565158968,-8742.105620178887,0.7410755271536772,4.120858942250041e-11,gauss,7.033388268460826e-05,
radial_nodes,80,0.1,5.300784421789063e-17,3.244873149473362e-10,2.6393079771446637e-13,0.3841668178968236,21-1,-3.546446375486724e-11,0.09987360457690089,4.39596776673252e-20,0.09987367262695772,21+1,8742.720561071967,-8742.720533675469,0.692127047358582,4.120858942250041e-11,gauss,,
angular_nodes,48,0.1,4.989076465391293e-17,3.2448746735603255e-10,2.6393079771446637e-13,0.3841668178968236,21-1,-3.546446375486724e-11,0.09987360457690089,4.39596776673252e-20,0.09987367262695772,21+1,8742.720561072007,-8742.720533675509,0.6921270479161123,4.120858942250043e-11,gauss,,
angular_nodes,72,0.1,5.0135217506546736e-17,3.244873116536278e-10,2.6393079771446637e-13,0.3841668178968236,21-1,-3.546446375486724e-11,0.09987360457690089,4.39596776673252e-20,0.09987367262695772,21+1,8742.72056107182,-8742.720533675321,0.692127048202056,4.120858942250041e-11,gauss,1.6852665100981894e-14,
angular_nodes,96,0.1,5.300784421789063e-17,3.244873149473362e-10,2.6393079771446637e-13,0.3841668178968236,21-1,-3.546446375486724e-11,0.09987360457690089,4.39596776673252e-20,0.09987367262695772,21+1,8742.720561071967,-8742.720533675469,0.692127047358582,4.120858942250041e-11,gauss,,
horizon_cutoff,0.0003,0.1,5.300784421789063e-17,1.2834672185845718e-10,2.6393079771446637e-13,0.3841668178968236,21-1,-3.546446375486724e-11,0.09987360457690089,4.39596776673252e-20,0.09987367262695772,21+1,8742.72035428873,-8742.7203268902,0.6921526999474737,4.123498065345141e-11,gauss,,
