alpha,chi,initial,final,kind,support,support_inner_M,support_outer_M,relative_amplitude,absolute_amplitude,omega_res_M,physical_kernel_abs,pure_gauge_kernel_abs,shifted_kernel_abs,ward_evaluation,pure_gauge_residual,invariance_residual,off_0p99_residual,off_1p01_residual
0.1,0.3841668178968236,21+1,21-1,temporal,near_horizon,3.923263697990465,11.923263697990466,0.1,1867.7508879627555,3.4025028412820735e-08,8578.918385926054,0.0,8578.918385926054,compact-support Green identity,0.0,0.0,6.695581853456811e-19,6.695581672563033e-19
0.1,0.3841668178968236,21+1,21-1,temporal,near_horizon,3.923263697990465,11.923263697990466,1.0,18677.508879627552,3.4025028412820735e-08,8578.918385926054,0.0,8578.918385926054,compact-support Green identity,0.0,0.0,6.695581853456825e-18,6.695581672563052e-18
0.1,0.3841668178968236,21+1,21-1,temporal,cloud_core,229.8353085546457,804.4235799412598,0.1,38517347898.68303,3.4025028412820735e-08,8578.918385926054,0.0,8578.918385926054,compact-support Green identity,0.0,0.0,5.144016243168063e-05,5.14401610504574e-05
0.1,0.3841668178968236,21+1,21-1,temporal,cloud_core,229.8353085546457,804.4235799412598,1.0,385173478986.83026,3.4025028412820735e-08,8578.918385926054,0.0,8578.918385926054,compact-support Green identity,0.0,0.0,0.000514401624316807,0.0005144016105045722
0.1,0.3841668178968236,21+1,21-1,radial,near_horizon,3.923263697990465,11.923263697990466,0.1,288.8969264813172,3.4025028412820735e-08,8578.918385926054,0.0,8578.918385926054,compact-support Green identity,0.0,0.0,7.573174429279751e-20,7.573174224826232e-20
0.1,0.3841668178968236,21+1,21-1,radial,near_horizon,3.923263697990465,11.923263697990466,1.0,2888.969264813172,3.4025028412820735e-08,8578.918385926054,0.0,8578.918385926054,compact-support Green identity,0.0,0.0,7.573174429279752e-19,7.573174224826231e-19
0.1,0.3841668178968236,21+1,21-1,radial,cloud_core,229.8353085546457,804.4235799412598,0.1,70130887.83218567,3.4025028412820735e-08,8578.918385926054,0.0,8578.918385926054,compact-support Green identity,0.0,0.0,2.7261460737405717e-09,2.726146000540632e-09
0.1,0.3841668178968236,21+1,21-1,radial,cloud_core,229.8353085546457,804.4235799412598,1.0,701308878.3218567,3.4025028412820735e-08,8578.918385926054,0.0,8578.918385926054,compact-support Green identity,0.0,0.0,2.7261460737405747e-08,2.7261460005406336e-08
0.1,0.3841668178968236,21+1,21-1,polar,near_horizon,3.923263697990465,11.923263697990466,0.1,466.9377219906889,3.4025028412820735e-08,8578.918385926054,0.0,8578.918385926054,compact-support Green identity,0.0,0.0,5.3302091428853036e-20,5.330208999257483e-20
0.1,0.3841668178968236,21+1,21-1,polar,near_horizon,3.923263697990465,11.923263697990466,1.0,4669.377219906888,3.4025028412820735e-08,8578.918385926054,0.0,8578.918385926054,compact-support Green identity,0.0,0.0,5.330209142885298e-19,5.33020899925749e-19
0.1,0.3841668178968236,21+1,21-1,polar,cloud_core,229.8353085546457,804.4235799412598,0.1,9629336974.670757,3.4025028412820735e-08,8578.918385926054,0.0,8578.918385926054,compact-support Green identity,0.0,0.0,1.8368738468801428e-09,1.8368737975581195e-09
