alpha,chi,initial,final,status,irg_trace_residual,irg_tetrad_residual,operator_form_residual,ward_identity_residual,schwarzschild_gauge_residual
0.1,0.3841668178968236,21+1,21-1,gauge_audit_failed,4.5172471882209204e-17,1.0745966296219281e-15,6.732295754560579e-11,nan,4.443516905869221e-10
0.1,0.19791155474884012,32+2,32+0,gauge_audit_failed,8.901171854624931e-17,5.660668919683309e-16,1.3718759113451824e-10,nan,1.247599187413639e-10
0.1,0.19791155474884012,32+2,30+0,gauge_audit_failed,1.0415845491798921e-16,2.5624119075736665e-16,1.3117073379169723e-10,nan,inf
0.1,0.1327021676878389,43+3,43+1,gauge_audit_failed,5.623540118978848e-17,1.5064954139264247e-16,2.100834245993495e-10,nan,8.834705168287594e-10
0.1,0.1327021676878389,43+3,41+1,gauge_audit_failed,1.5037349483124917e-16,2.3807711512750693e-16,2.0090527772030962e-10,nan,0.0008243067460842375
0.125,0.4697634897135886,21+1,21-1,gauge_audit_failed,2.1354907908598822e-16,1.2566719280500625e-15,8.496713741601463e-11,nan,6.147949829330723e-10
0.125,0.24594549892517448,32+2,32+0,gauge_audit_failed,1.1585767471215506e-16,2.0347625826540695e-15,1.3168469144868652e-10,nan,2.5062781565426003e-09
0.125,0.24594549892517448,32+2,30+0,gauge_audit_failed,1.1705040179675488e-16,2.0974634803393354e-15,1.372808120470857e-10,nan,inf
0.125,0.1654372948396467,43+3,43+1,gauge_audit_failed,1.0963483517584645e-16,2.107189184974584e-15,2.1383316415664212e-10,nan,7.82670531348311e-09
0.125,0.1654372948396467,43+3,41+1,gauge_audit_failed,1.0463953428760237e-16,1.978285562725504e-15,2.1304087955999486e-10,nan,0.0016338218995647737
0.15,0.5491343012133714,21+1,21-1,gauge_audit_failed,2.2275397099134315e-16,1.8166454911290257e-15,9.304784446663664e-11,nan,4.44791742066454e-10
0.15,0.1978827283895547,43+3,43+1,gauge_audit_failed,1.6484979648550394e-16,1.7353057494078541e-15,1.9675201107164216e-10,nan,1.0448463246935036e-08
0.15,0.1978827283895547,43+3,41+1,gauge_audit_failed,1.210675733501475e-16,1.5676363963134266e-15,1.9820868071420746e-10,nan,0.0028757856581700892
0.175,0.62167828051175,21+1,21-1,gauge_audit_failed,1.8839841859315656e-16,1.4573856760720294e-15,9.682934466666475e-11,nan,2.058098055828019e-10
0.2,0.6870453082262965,21+1,21-1,gauge_audit_failed,1.1329273306153142e-16,8.249223906521531e-16,9.745662958029365e-11,nan,1.6106752716892036e-11
0.2,0.3838141716843805,32+2,32+0,gauge_audit_failed,2.5873993809466864e-16,5.029905535692226e-16,1.5482019441547944e-10,nan,1.4042293120823162e-09
0.2,0.3838141716843805,32+2,30+0,gauge_audit_failed,3.1463231807653655e-16,3.3501252304882536e-16,1.5049833798271087e-10,nan,0.032707338921238976
0.2,0.2616901964540883,43+3,43+1,gauge_audit_failed,1.1741298425613091e-16,3.321637249863576e-16,2.1617100616908974e-10,nan,6.744764610811361e-09
0.2,0.2616901964540883,43+3,41+1,gauge_audit_failed,1.5182169332816184e-16,4.49502806531417e-16,2.1937133441809068e-10,nan,0.007168681418893993
0.22499999999999998,0.7451164771598099,21+1,21-1,gauge_audit_failed,1.0199697902713387e-16,8.757295501851729e-16,1.228649480821224e-10,nan,9.486783416810076e-11
0.22499999999999998,0.4272064440933289,32+2,32+0,gauge_audit_failed,1.2437435336642372e-16,9.575178246437315e-16,1.4275055027753646e-10,nan,5.420497633879287e-10
0.22499999999999998,0.4272064440933289,32+2,30+0,gauge_audit_failed,1.7163779356547527e-16,7.87043019567405e-16,1.4273716095794508e-10,nan,0.039613083376618646
0.25,0.7959734945938708,21+1,21-1,gauge_audit_failed,1.2337228474929537e-16,1.088022759717635e-15,1.1853123279641016e-10,nan,1.3536422063991555e-10
0.25,0.46911119480762914,32+2,32+0,gauge_audit_failed,1.9925677012710763e-16,1.9347015410526045e-15,1.6686070393992712e-10,nan,1.1421625403710104e-10
0.25,0.46911119480762914,32+2,30+0,gauge_audit_failed,1.7890112503515662e-16,1.9365635659127048e-15,1.6731432733711786e-10,nan,0.04553678081998857
0.275,0.8398619844523131,21+1,21-1,gauge_audit_failed,1.0445373605979118e-16,7.556104229485907e-16,1.2677184073869679e-10,nan,1.1905258732230952e-10
0.275,0.5094294595450876,32+2,32+0,gauge_audit_failed,1.1136957176146184e-16,6.234126377613864e-16,1.46855097992689e-10,nan,5.265350041028109e-10
0.275,0.5094294595450876,32+2,30+0,gauge_audit_failed,2.215482881559152e-16,4.644537969212651e-16,1.4781676213908547e-10,nan,0.05068870455463825
0.3,0.8771530275949279,21+1,21-1,gauge_audit_failed,1.8938839751480011e-16,2.1236077768546536e-15,1.2533913507541416e-10,nan,5.7683916916663486e-11
0.3,0.5480790804374224,32+2,32+0,gauge_audit_failed,8.874138455567171e-17,9.382828909999625e-16,1.6454752595209213e-10,nan,7.241521754372996e-10
0.3,0.5480790804374224,32+2,30+0,gauge_audit_failed,6.377885220683065e-17,1.4179635556273732e-15,1.6816456747831543e-10,nan,0.39155423730222566
0.32499999999999996,0.9083063391388978,21+1,21-1,gauge_audit_failed,1.0875641381783673e-16,8.299207866375052e-16,1.4666544646533181e-10,nan,2.1654802402123558e-10
0.32499999999999996,0.584994669680646,32+2,32+0,gauge_audit_failed,1.284324088569042e-16,1.3679083073563213e-15,1.6612290960471492e-10,nan,7.580395851393487e-10
0.32499999999999996,0.584994669680646,32+2,30+0,gauge_audit_failed,8.690421499216003e-17,9.986685982622518e-16,1.6642944954333103e-10,nan,0.4052895975909317
