alpha,chi,state,omega_real_M,gamma_M,separation_real,separation_imag,bilinear_norm_real,bilinear_norm_imag,r_99_M,cf_residual,radial_residual,angular_residual,converged,message
0.1,0.3841668178968236,21+1,0.09987367262695772,4.39596776673252e-20,2.0000007452855773,-2.5918217952603457e-22,1.0,1.5341684663449343e-16,1149.188340047096,1.315735709795572e-13,9.767169308920959e-12,5.0135217496259663e-17,True,ok
0.1,0.3841668178968236,21-1,0.09987360457690089,-3.546446375486724e-11,2.0000007456867936,2.0909504427031105e-13,1.0000000000000002,1.4626232936599326e-10,1148.6356990522982,2.6393079771446637e-13,4.1228494972681733e-11,5.0135217506546736e-17,True,ok
0.1,0.19791155474884012,32+2,0.0999442317375743,3.025576561759584e-23,6.00000006239363,-3.38407619291152e-26,1.0,-1.185555959292249e-16,2177.285446057879,6.42969019681852e-12,8.405936503272849e-13,5.386277847398437e-17,True,ok
0.1,0.19791155474884012,32+0,0.09994422975309299,7.91169545069474e-17,6.000000228784784,-3.244688289030499e-19,1.0000000000000002,-9.648436286220217e-18,2177.209897464382,5.6420976845565444e-11,2.6551994035611655e-12,4.9007898527822943e-17,True,ok
0.1,0.19791155474884012,32+2,0.0999442317375743,3.025576561759584e-23,6.00000006239363,-3.38407619291152e-26,1.0,-1.185555959292249e-16,2177.285446057879,6.42969019681852e-12,8.405936503272849e-13,5.386277847398437e-17,True,ok
0.1,0.19791155474884012,30+0,0.09994218895576776,-5.434087938866247e-07,1.5091635423457014e-07,1.4181642852828056e-09,1.0000000000332778,3.769847221425703e-12,2459.766968656527,1.6693642962362878e-14,3.476960701365252e-06,6.492025454959262e-17,False,mode-function or normalization residual failed
0.1,0.1327021676878389,43+3,0.09996868936896305,8.994223700475456e-33,12.000000012250881,-3.518610569353399e-36,1.0000000000000002,-1.9957985567818129e-16,3473.578826593204,3.046833136916735e-11,1.645483302492478e-12,8.00878350257895e-17,True,ok
0.1,0.1327021676878389,43+1,0.09996868917013094,1.062044203743286e-24,12.00000005145403,-1.74501598284963e-27,0.9999999999999997,-1.0205248040431483e-16,3473.5562672021806,1.5455421719788824e-11,1.6840905761476827e-12,7.585738175088884e-17,True,ok
0.1,0.1327021676878389,43+3,0.09996868936896305,8.994223700475456e-33,12.000000012250881,-3.518610569353399e-36,1.0000000000000002,-1.9957985567818129e-16,3473.578826593204,3.046833136916735e-11,1.645483302492478e-12,8.00878350257895e-17,True,ok
0.1,0.1327021676878389,41+1,0.09996850678748365,-1.2251066991860092e-12,2.000000022180156,8.626867807289279e-16,1.0000000000361007,2.809550808330181e-11,4103.397479940942,9.306161696061807e-13,8.995714922248217e-10,4.85780321913798e-17,True,ok
0.125,0.4697634897135886,21+1,0.12475180800821226,-1.3517943487966314e-19,2.000002735802772,1.4885921178801647e-21,1.0,-7.664785575366563e-17,731.4598087248565,1.615056942596723e-13,4.66084768677097e-12,8.799425747907165e-17,True,ok
0.125,0.4697634897135886,21-1,0.12475147872599127,-4.606805934953466e-10,2.000002739428814,5.072988286291917e-12,1.0000000000209084,1.5088689770066637e-09,730.5923751627446,5.321917074430949e-14,2.3914673553544556e-11,4.720429712156224e-17,True,ok
