alpha,chi,initial,final,q,eta_abs_M,landau_zener_z,depletion_probability
0.1,0.3841668178968236,21+1,21-1,0.0001,1.012045762315281e-15,0.6448950827821703,0.9826123537196811
0.1,0.3841668178968236,21+1,21-1,0.0001333521432163324,1.3495397088364054e-15,0.8599336175864608,0.9954974990556225
0.1,0.3841668178968236,21+1,21-1,0.00017782794100389227,1.7995600990893902e-15,1.146654922041842,0.9992568743074511
0.1,0.3841668178968236,21+1,21-1,0.00023713737056616554,2.39960966642505e-15,1.5289378036743442,0.9999327167705726
0.1,0.3841668178968236,21+1,21-1,0.00031622776601683794,3.1996779152091143e-15,2.0386026631212775,0.9999972637393614
0.1,0.3841668178968236,21+1,21-1,0.00042169650342858224,4.2663892475120175e-15,2.718042696305421,0.9999999617057443
0.1,0.3841668178968236,21+1,21-1,0.0005623413251903491,5.68852177561798e-15,3.623719078446888,0.9999999998706499
0.1,0.3841668178968236,21+1,21-1,0.0007498942093324559,7.584344038977126e-15,4.830797759550152,0.9999999999999343
0.1,0.3841668178968236,21+1,21-1,0.001,1.0111358310604524e-14,6.439289961864388,1.0
0.1,0.3841668178968236,21+1,21-1,0.001333521432163324,1.3479221897200543e-14,8.582164848719435,1.0
0.1,0.3841668178968236,21+1,21-1,0.0017782794100389228,1.7966851030314795e-14,11.436033684107517,1.0
0.1,0.3841668178968236,21+1,21-1,0.0023713737056616554,2.3945004481507912e-14,15.235159972384132,1.0
0.1,0.3841668178968236,21+1,21-1,0.0031622776601683794,3.190600178541086e-14,20.28972323120061,1.0
0.1,0.3841668178968236,21+1,21-1,0.004216965034285823,4.250265149418418e-14,27.009436341824852,1.0
0.1,0.3841668178968236,21+1,21-1,0.005623413251903491,5.659892750593615e-14,35.93374520397846,1.0
0.1,0.3841668178968236,21+1,21-1,0.007498942093324558,7.533537929958917e-14,47.76983923101038,1.0
0.1,0.3841668178968236,21+1,21-1,0.01,1.0021257097935768e-13,63.43941283186639,1.0
0.1,0.3841668178968236,21+1,21-1,0.01333521432163324,1.3319577310381839e-13,84.1342612897563,1.0
0.1,0.3841668178968236,21+1,21-1,0.01778279410038923,1.7684324411746664e-13,111.37890308766266,1.0
0.1,0.3841668178968236,21+1,21-1,0.023713737056616554,2.3445799510835213e-13,147.09476809193137,1.0
0.1,0.3841668178968236,21+1,21-1,0.03162277660168379,3.102577623142205e-13,193.65404557250358,1.0
0.1,0.3841668178968236,21+1,21-1,0.042169650342858224,4.095483271399995e-13,253.90080328556957,1.0
0.1,0.3841668178968236,21+1,21-1,0.05623413251903491,5.388692233337841e-13,331.10147446720606,1.0
0.1,0.3841668178968236,21+1,21-1,0.07498942093324558,7.060563896586351e-13,428.76677740562445,1.0
0.1,0.3841668178968236,21+1,21-1,0.1,9.201336062650115e-13,550.2672117948227,1.0
0.1,0.3841668178968236,21+1,21-1,0.1333521432163324,1.1909093576322837e-12,698.1573705213874,1.0
0.1,0.3841668178968236,21+1,21-1,0.1778279410038923,1.5281350089406448e-12,873.1556928862278,1.0
0.1,0.3841668178968236,21+1,21-1,0.23713737056616552,1.940106863357712e-12,1072.8316263214128,1.0
0.1,0.3841668178968236,21+1,21-1,0.31622776601683794,2.431714194796335e-12,1290.2574168080898,1.0
0.1,0.3841668178968236,21+1,21-1,0.4216965034285822,3.0021796907052512e-12,1513.1545409218725,1.0
0.1,0.3841668178968236,21+1,21-1,0.5623413251903491,3.643071187276058e-12,1724.2553296485125,1.0
0.1,0.3841668178968236,21+1,21-1,0.7498942093324559,4.33742305916251e-12,1903.4513781167236,1.0
0.1,0.3841668178968236,21+1,21-1,1.0,5.060734834457563e-12,2031.6307844162866,1.0
0.1,0.19791155474884012,32+2,32+0,0.0001,2.1462287278029637e-18,1.2343534183714293,0.9995716933993473
0.1,0.19791155474884012,32+2,32+0,0.0001333521432163324,2.8619465643424357e-18,1.6459452533907635,0.9999677431144642
0.1,0.19791155474884012,32+2,32+0,0.00017782794100389227,3.816297371017884e-18,2.194740602779339,0.9999989741221865
0.1,0.19791155474884012,32+2,32+0,0.00023713737056616554,5.088812574851455e-18,2.9264444013138764,0.9999999896615147
0.1,0.19791155474884012,32+2,32+0,0.00031622776601683794,6.785504091858599e-18,3.901962091366743,0.999999999977483
0.1,0.19791155474884012,32+2,32+0,0.00042169650342858224,9.047661190786553e-18,5.202435842726587,0.9999999999999937
0.1,0.19791155474884012,32+2,32+0,0.0005623413251903491,1.206355414762423e-17,6.935934466117698,1.0
0.1,0.19791155474884012,32+2,32+0,0.0007498942093324559,1.6083993100030284e-17,9.246328413975355,1.0
0.1,0.19791155474884012,32+2,32+0,0.001,2.1442990516241202e-17,12.325042923295003,1.0
0.1,0.19791155474884012,32+2,32+0,0.001333521432163324,2.858516318275952e-17,16.42658596859258,1.0
0.1,0.19791155474884012,32+2,32+0,0.0017782794100389228,3.810200414376623e-17,21.88899814476798,1.0
0.1,0.19791155474884012,32+2,32+0,0.0023713737056616554,5.0779775400683e-17,29.160668600879955,1.0
0.1,0.19791155474884012,32+2,32+0,0.0031622776601683794,6.766253085682968e-17,38.83529258774351,1.0
0.1,0.19791155474884012,32+2,32+0,0.004216965034285823,9.013467082350954e-17,51.69707595379227,1.0
0.1,0.19791155474884012,32+2,32+0,0.005623413251903491,1.200284104724454e-16,68.77853841909466,1.0
0.1,0.19791155474884012,32+2,32+0,0.007498942093324558,1.5976249424019708e-16,91.43326709124267,1.0
0.1,0.19791155474884012,32+2,32+0,0.01,2.1251914363126175e-16,121.42541969875838,1.0
0.1,0.19791155474884012,32+2,32+0,0.01333521432163324,2.8246607545033535e-16,161.03613719170522,1.0
0.1,0.19791155474884012,32+2,32+0,0.01778279410038923,3.750285461148346e-16,213.18340522555073,1.0
