alpha,chi,q,initial,final,status,omega_res_M,separation_M,tidal_strength,r_99_over_b,landau_zener_z,depletion_probability,numerical_error,systematic_error,message,hydrogenic_kernel_M_real,hydrogenic_kernel_M_imag,hydrogenic_kernel_M_abs,semirelativistic_kernel_M_real,semirelativistic_kernel_M_imag,semirelativistic_kernel_M_abs,covariant_kernel_M_real,covariant_kernel_M_imag,covariant_kernel_M_abs,eta_M_real,eta_M_imag,eta_M_abs
0.1,0.3841668178968236,0.0001,21+1,21-1,ok,3.4025028412820735e-08,95239.14284074679,1.157586799813277e-19,0.012066344842778564,0.6448950827821703,0.9826123537196811,3.6044920027137346e-07,218.56800770329446,covariant adiabatic IRG tide; global binary effects excluded,8999.999999999958,-0.0,8999.999999999958,-0.003295683754089855,-8746.34932077288,8746.349320773501,0.6921551633393316,-8742.720280733052,8742.720308131777,8.012296805042129e-20,-1.012045759143641e-15,1.012045762315281e-15
0.1,0.19791155474884012,0.0001,32+2,32+0,ok,9.922406576934328e-10,1005240.0815457607,9.84443078472049e-23,0.002165935766021049,1.2343534183714293,0.9995716933993473,1.2300591471942228e-06,545.0362684082555,covariant adiabatic IRG tide; global binary effects excluded,22045.407685048485,-0.0,22045.407685048485,1.768281921393797e-08,-21801.399230629544,21801.399230629544,0.09765104385295525,-21801.45073611152,21801.450736330215,9.613189422661234e-24,-2.1462287277814345e-18,2.1462287278029637e-18
0.1,0.19791155474884012,0.0001,32+2,30+0,mode_not_converged,nan,nan,nan,nan,nan,nan,inf,inf,mode convergence failed,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan
0.1,0.1327021676878389,0.0001,43+3,43+1,ok,9.941605871865988e-11,4659901.976801822,9.88256447470456e-25,0.0007454188615738193,2.57508191919963,0.9999999059761044,1.4077857763146555e-06,1155.1221490088517,covariant adiabatic IRG tide; global binary effects excluded,46475.80015448877,-0.0,46475.80015448877,-9.924914839246772e-12,-46201.95663728999,46201.95663728999,0.03373358937731291,-46204.88596034174,46204.885960354055,3.333743719845037e-26,-4.5662276454944874e-20,4.5662276454957043e-20
0.1,0.1327021676878389,0.0001,43+3,41+1,ok,9.129073970381985e-08,49324.57195210424,8.333165839086681e-19,0.08319175043070771,150.91711313120985,1.0,0.00010206314401026033,2836.4378176835507,covariant adiabatic IRG tide; global binary effects excluded,-113841.995766061,0.0,113841.995766061,-0.0018180835462864352,113479.77824493025,113479.77824493026,-92.92338165336889,113457.47465452338,113457.51270734202,-7.743459496462677e-17,9.454599519801172e-14,9.454602690805653e-14
0.125,0.4697634897135886,0.0001,21+1,21-1,ok,1.6464111049496744e-07,33290.650749095985,2.7103984866529424e-18,0.021971928822830823,0.27645430894134837,0.8239546509446587,1.0525794635940305e-07,171.92952772105758,covariant adiabatic IRG tide; global binary effects excluded,4607.999999999987,-0.0,4607.999999999987,-0.011020221628723018,-4404.2409294897,4404.240929503487,1.0729542969597778,-4401.395778878867,4401.395909659074,2.908133702727554e-18,-1.1929536458233929e-14,1.1929536812700404e-14
0.125,0.24594549892517448,0.0001,32+2,32+0,ok,4.744284153035405e-09,354188.1393858704,2.2505981526590213e-21,0.003925791667511549,0.5383130249070158,0.966031460405132,2.7357570430094615e-08,433.2954861935722,covariant adiabatic IRG tide; global binary effects excluded,11287.248734744853,-0.0,11287.248734744853,-4.720086632237023e-09,-11092.300111009865,11092.300111009865,0.15218910716316988,-11092.364445511417,11092.364446555448,3.4251652343625597e-22,-2.4964454929688604e-17,2.4964454932038298e-17
0.125,0.24594549892517448,0.0001,32+2,30+0,mode_not_converged,nan,nan,nan,nan,nan,nan,inf,inf,mode convergence failed,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan
0.125,0.1654372948396467,0.0001,43+3,43+1,ok,4.746239998243418e-10,1643544.0398664125,2.2524541666759003e-23,0.001351034184925782,1.1291962429775813,0.9991707171300861,2.3020339189353318e-07,921.0607294655723,covariant adiabatic IRG tide; global binary effects excluded,23795.609679098292,-0.0,23795.609679098292,-2.209068543374284e-12,-23576.79569259761,23576.79569259761,0.05290486298546629,-23579.154674259302,23579.15467431865,1.1916577906903116e-24,-5.311096519273089e-19,5.311096519286458e-19
0.125,0.1654372948396467,0.0001,43+3,41+1,tidal_expansion_invalid,2.822046575243209e-07,23243.68730883184,7.963150557786146e-18,0.11252810603924816,57.40410265627843,1.0,2.1427005832383476e-05,2264.6752802170886,covariant adiabatic IRG tide; global binary effects excluded,-58287.101832223336,0.0,58287.101832223336,-0.004970534398475943,57993.95684722719,57993.956847227404,-93.75109103157547,57975.611372189305,57975.68717355747,-7.465540528411499e-16,4.61668522036442e-13,4.616691256541492e-13
