point_id,alpha,chi,initial,final,kernel_status,failure_stage,omega_res_M,r_99_M,message,hydrogenic_kernel_M_real,hydrogenic_kernel_M_imag,hydrogenic_kernel_M_abs,semirelativistic_kernel_M_real,semirelativistic_kernel_M_imag,semirelativistic_kernel_M_abs,covariant_kernel_M_real,covariant_kernel_M_imag,covariant_kernel_M_abs
a0.100000_21+1_21-1,0.1,0.38416681789681867,21+1,21-1,ok,,3.4025028412820735e-08,1149.1883390037754,q-independent covariant adiabatic Kerr kernel,8999.999999999958,-0.0,8999.999999999958,-0.0032933564114756234,-8746.349332761001,8746.349332761622,0.6921568238359068,-8742.720295191097,8742.720322589952
a0.100000_32+2_30+0,0.1,0.19791155474884012,32+2,30+0,ok,,1.0213909032719126e-06,2459.8895738618608,q-independent covariant adiabatic Kerr kernel,-38971.14317029945,0.0,38971.14317029945,96.29117279470033,38288.53455024685,38288.65563055727,-104.75212464679629,38253.642852091456,38253.786276171224
a0.100000_32+2_32+0,0.1,0.19791155474884012,32+2,32+0,ok,,9.922406576934328e-10,2177.2854458629145,q-independent covariant adiabatic Kerr kernel,22045.407685048485,-0.0,22045.407685048485,8.155910586339601e-10,-21801.3992306262,21801.3992306262,0.09765127645785127,-21801.450734598948,21801.450734817645
a0.100000_43+3_41+1,0.1,0.13270216768783888,43+3,41+1,ok,,9.129073970381985e-08,4103.397489021976,q-independent covariant adiabatic Kerr kernel,-113841.995766061,0.0,113841.995766061,-0.0018536400220177018,113479.77890957051,113479.77890957052,-92.92342476443419,113457.47531799659,113457.51337085031
a0.100000_43+3_43+1,0.1,0.13270216768783888,43+3,43+1,ok,,9.941605871865988e-11,3473.5788259195533,q-independent covariant adiabatic Kerr kernel,46475.80015448877,-0.0,46475.80015448877,-1.6229405777004343e-09,-46201.95666840262,46201.95666840262,0.03373431219158895,-46204.885989697155,46204.885989709466
a0.125000_21+1_21-1,0.125,0.46976348971362125,21+1,21-1,ok,,1.6464111049496744e-07,731.4598084856233,q-independent covariant adiabatic Kerr kernel,4607.999999999987,-0.0,4607.999999999987,-0.011022533963950037,-4404.240938674202,4404.240938687995,1.0729515802704137,-4401.395788116743,4401.395918896287
a0.125000_32+2_30+0,0.125,0.24594549892517442,32+2,30+0,ok,,3.169113816044178e-06,1543.1866270453456,q-independent covariant adiabatic Kerr kernel,-19953.225303193365,0.0,19953.225303193365,147.42300739828852,19375.686040603614,19376.24687825669,-52.400971304063816,19334.64177602248,19334.71278475342
a0.125000_32+2_32+0,0.125,0.24594549892517442,32+2,32+0,ok,,4.744284153035405e-09,1390.4688462555134,q-independent covariant adiabatic Kerr kernel,11287.248734744853,-0.0,11287.248734744853,-4.802678052988196e-09,-11092.3001108045,11092.3001108045,0.15218907197679857,-11092.364444980094,11092.364446024123
a0.125000_43+3_41+1,0.125,0.16543729483964664,43+3,41+1,ok,,2.822046575243209e-07,2615.5681135587497,q-independent covariant adiabatic Kerr kernel,-58287.101832223336,0.0,58287.101832223336,-0.004975269771049175,57993.957154599884,57993.9571546001,-93.75109762620885,57975.61168110915,57975.68748248757
a0.125000_43+3_43+1,0.125,0.16543729483964664,43+3,43+1,ok,,4.746239998243418e-10,2220.484181903055,q-independent covariant adiabatic Kerr kernel,23795.609679098292,-0.0,23795.609679098292,-3.1593871984477856e-11,-23576.79571137398,23576.79571137398,0.05290459722110862,-23579.154692401487,23579.154692460837
a0.150000_21+1_21-1,0.15,0.5491343012133714,21+1,21-1,ok,,6.025352940058903e-07,504.5756296021921,q-independent covariant adiabatic Kerr kernel,2666.666666666654,-0.0,2666.666666666654,0.032007156263006695,2495.91671076587,2495.9167109710966,-1.5273031974902942,2493.606608853917,2493.6070765810296
a0.150000_32+2_30+0,0.15,0.2930448793705011,32+2,30+0,ok,,7.643139033716717e-06,1048.3391006115264,q-independent covariant adiabatic Kerr kernel,-11547.005383792432,0.0,11547.005383792432,203.8233440920344,11061.406732475378,11063.284451592504,14.186987359074383,11014.354409278209,11014.36354601557
a0.150000_32+2_32+0,0.15,0.2930448793705011,32+2,32+0,ok,,1.7058363846467195e-08,963.0692810345683,q-independent covariant adiabatic Kerr kernel,6531.97264742177,-0.0,6531.97264742177,2.4139677696189415e-08,6369.772186821102,6369.772186821102,-0.2184947386985245,6369.849573397642,6369.84957714498
a0.150000_43+3_41+1,0.15,0.19788272838955467,43+3,41+1,ok,,7.136308373817402e-07,1807.189035201135,q-independent covariant adiabatic Kerr kernel,-33730.9617084625,0.0,33730.9617084625,-0.011454020698673939,33483.100981223055,33483.10098122501,-94.78402014292848,33467.31164742049,33467.445867828654
