point_id,branch,alpha,chi,state,omega_real_M,gamma_M,separation_real,separation_imag,bilinear_norm_real,bilinear_norm_imag,r_99_M,cf_residual,radial_residual,angular_residual,converged,message,selected_truncation,convergence_history,radial_ode_residual,bilinear_norm_error
a0.100000_21+1_21+1,21+1,0.1,0.38416681789681867,21+1,0.09987367262695772,3.0682667543940727e-19,2.0000007452855773,-1.8090216010892226e-21,1.0000000000007945,-4.120605835054521e-15,1149.1883390037754,1.2978772352665857e-13,7.449092834015101e-14,3.495065018988444e-16,True,"ok; adaptive N=400, reference N=600",400,"[{""candidate_N"": 400, ""candidate_mode_converged"": true, ""gamma_limit"": 1e-15, ""gamma_metric"": 3.0045876802953787e-19, ""passed"": true, ""r99_relative"": 8.411694536912113e-10, ""real_relative"": 9.448832170778437e-15, ""reference_N"": 600, ""reference_mode_converged"": true}]",3.1657456037277627e-11,7.944862822617911e-13
a0.100000_21+1_21-1,21+1,0.1,0.38416681789681867,21-1,0.09987360457690089,-3.5464463687015346e-11,2.0000007456867936,2.0909504387025755e-13,1.0000000000017677,-2.194510469505648e-15,1148.635703397405,2.6386186757607876e-13,6.393787166707462e-13,3.1469521721672595e-16,True,"ok; adaptive N=400, reference N=600",400,"[{""candidate_N"": 400, ""candidate_mode_converged"": true, ""gamma_limit"": 0.001, ""gamma_metric"": 2.138562126523653e-05, ""passed"": true, ""r99_relative"": 3.5419160805146983e-09, ""real_relative"": 3.987965706970963e-14, ""reference_N"": 600, ""reference_mode_converged"": true}]",6.866793474450629e-12,1.7676984619969637e-12
a0.100000_32+2_30+0,32+2,0.1,0.19791155474884012,30+0,0.09994218895576776,-5.434087938866751e-07,1.5091635423457014e-07,1.418164285282937e-09,0.9999999999920205,-2.8995067006488333e-13,2459.8895738618608,2.0413617346834918e-14,2.13520681926494e-12,3.3469332520047002e-15,True,"ok; adaptive N=400, reference N=600",400,"[{""candidate_N"": 400, ""candidate_mode_converged"": true, ""gamma_limit"": 0.001, ""gamma_metric"": 7.631295855452092e-05, ""passed"": true, ""r99_relative"": 4.34683249351469e-05, ""real_relative"": 4.4925444877075015e-10, ""reference_N"": 600, ""reference_mode_converged"": true}]",3.012076982156875e-09,7.984772164287482e-12
a0.100000_32+2_32+0,32+2,0.1,0.19791155474884012,32+0,0.09994422975309299,-1.1162977004451617e-18,6.000000228784784,4.578080781241679e-21,1.000000000001712,1.8374360040542623e-15,2177.2098973262114,1.9690550790928837e-12,5.7252245797672e-13,2.515622596712462e-16,True,"ok; adaptive N=400, reference N=600",400,"[{""candidate_N"": 400, ""candidate_mode_converged"": true, ""gamma_limit"": 1e-15, ""gamma_metric"": 6.876124741033144e-21, ""passed"": true, ""r99_relative"": 5.589072682999871e-12, ""real_relative"": 0.0, ""reference_N"": 600, ""reference_mode_converged"": true}]",1.001713922006736e-11,1.7119648900237675e-12
a0.100000_32+2_32+2,32+2,0.1,0.19791155474884012,32+2,0.0999442317375743,1.1008434818595253e-21,6.00000006239363,-1.2312820855923413e-24,0.9999999999963263,9.903035865022331e-17,2177.2854458629145,6.429689994161138e-12,5.569959575619405e-13,4.337647663451031e-16,True,"ok; adaptive N=400, reference N=600",400,"[{""candidate_N"": 400, ""candidate_mode_converged"": true, ""gamma_limit"": 1e-15, ""gamma_metric"": 2.6300406566466345e-24, ""passed"": true, ""r99_relative"": 4.683053901316772e-12, ""real_relative"": 0.0, ""reference_N"": 600, ""reference_mode_converged"": true}]",1.652459131244051e-11,3.673727989819393e-12
a0.100000_43+3_41+1,43+3,0.1,0.13270216768783888,41+1,0.09996850678748365,-1.2251068721909528e-12,2.000000022180156,8.626869025542981e-16,0.9999999999993032,9.635241914851978e-15,4103.397489021976,9.433115273070243e-13,1.5340483197217145e-11,1.8328434934252982e-16,True,"ok; adaptive N=400, reference N=600",400,"[{""candidate_N"": 400, ""candidate_mode_converged"": true, ""gamma_limit"": 0.001, ""gamma_metric"": 0.000624797637007631, ""passed"": true, ""r99_relative"": 2.0818212189762674e-09, ""real_relative"": 1.763034287727375e-14, ""reference_N"": 600, ""reference_mode_converged"": true}]",9.767128651698428e-10,6.968425866802369e-13
a0.100000_43+3_43+1,43+3,0.1,0.13270216768783888,43+1,0.09996868917013094,-7.58254810498068e-21,12.00000005145403,1.2458678682707693e-23,1.0000000000095297,-8.285037324078779e-16,3473.5562667273452,1.5450680910056246e-11,8.58484768107136e-13,8.670761754144441e-16,True,"ok; adaptive N=400, reference N=600",400,"[{""candidate_N"": 400, ""candidate_mode_converged"": true, ""gamma_limit"": 1e-15, ""gamma_metric"": 0.0, ""passed"": true, ""r99_relative"": 2.60052096752679e-11, ""real_relative"": 0.0, ""reference_N"": 600, ""reference_mode_converged"": true}]",9.714420813796691e-12,9.529710390187148e-12
a0.100000_43+3_43+3,43+3,0.1,0.13270216768783888,43+3,0.09996868936896305,6.398864384719125e-20,12.000000012250881,-2.5032857315680874e-23,0.9999999999910087,6.969827921193096e-17,3473.5788259195533,3.0365529453163575e-11,1.2802330055515369e-12,7.72079072275705e-16,True,"ok; adaptive N=400, reference N=600",400,"[{""candidate_N"": 400, ""candidate_mode_converged"": true, ""gamma_limit"": 1e-15, ""gamma_metric"": 0.0, ""passed"": true, ""r99_relative"": 4.518045109345482e-12, ""real_relative"": 0.0, ""reference_N"": 600, ""reference_mode_converged"": true}]",1.0031979775721607e-11,8.991252187499435e-12
a0.125000_21+1_21+1,21+1,0.125,0.46976348971362125,21+1,0.12475180800821226,6.538856525446231e-19,2.000002735802772,-7.200570332606313e-21,1.000000000000576,-7.195652128474309e-17,731.4598084856233,1.6149672315122078e-13,1.4174604427822999e-13,4.3364574820391235e-16,True,"ok; adaptive N=400, reference N=600",400,"[{""candidate_N"": 400, ""candidate_mode_converged"": true, ""gamma_limit"": 1e-15, ""gamma_metric"": 5.391598985853664e-19, ""passed"": true, ""r99_relative"": 3.3535278986368447e-10, ""real_relative"": 6.00713170884588e-15, ""reference_N"": 600, ""reference_mode_converged"": true}]",3.022727632730438e-11,5.759837096702252e-13
a0.125000_21+1_21-1,21+1,0.125,0.46976348971362125,21-1,0.12475147872599127,-4.60680593443121e-10,2.000002739428814,5.072988285717514e-12,0.9999999999999898,-3.05391169652319e-15,730.5923763437555,5.420663207144067e-14,1.1667335027588323e-12,2.517562274949967e-16,True,"ok; adaptive N=400, reference N=600",400,"[{""candidate_N"": 400, ""candidate_mode_converged"": true, ""gamma_limit"": 0.001, ""gamma_metric"": 2.235162415218007e-06, ""passed"": true, ""r99_relative"": 1.7384553029684641e-09, ""real_relative"": 3.003573782351587e-14, ""reference_N"": 600, ""reference_mode_converged"": true}]",2.55700381633039e-11,1.0660826955055596e-14
